,userid,clubid,pred
183,iqeq99,운화회,4.5
184,iqeq99,예술비평연구회,4.5
185,iqeq99,고란도란,4.5
186,iqeq99,노래얼,4.5
187,iqeq99,중국연구회,4.0
188,iqeq99,유스호스텔,4.0
189,iqeq99,ECS,4.0
190,lulu77,뇌의주름,4.0
191,lulu77,탁구사랑회,4.0
192,lulu77,유스호스텔,3.5
193,lulu77,소믈리에,3.5
194,lulu77,KUBC,3.5
195,lulu77,사람과 사람,3.5
196,lulu77,뉴런,3.5
197,lulu77,LoGS,3.0
198,lulu77,아마추어축구부,3.0
199,lulu77,LECA,3.0
200,avuc12131,LECA,5.0
201,avuc12131,예술비평연구회,4.5
202,avuc12131,뇌의주름,4.5
203,avuc12131,중국연구회,4.5
204,avuc12131,탁구사랑회,4.5
205,avuc12131,캘리쿠,4.0
206,avuc12131,수레바퀴,4.0
207,avuc12131,ENM,4.0
208,avuc12131,KUBT,4.0
209,avuc12131,ALC,4.0
210,lgka88,탁구사랑회,4.0
211,lgka88,유스호스텔,4.0
212,lgka88,열두루달,3.5
213,lgka88,TTP,3.5
214,lgka88,평화나비,3.5
215,lgka88,ALC,3.5
216,lgka88,노래얼,3.5
217,lgka88,KUBT,3.5
218,lgka88,ENTHES,3.5
219,lgka88,로타랙트,3.5
220,hello994,JASS,4.0
221,hello994,KUBT,4.0
222,hello994,LECA,4.0
223,hello994,로타랙트,4.0
224,hello994,KURC,4.0
225,hello994,수호회,4.0
226,hello994,탁구사랑회,4.0
227,hello994,KULAX,3.5
228,hello994,KUBC,3.5
229,hello994,ENTHES,3.5
230,pask4687,LECA,4.5
231,pask4687,팝콘,4.0
232,pask4687,한일문화연구회,4.0
233,pask4687,운화회,4.0
234,pask4687,KUCC,3.5
235,pask4687,호영회,3.5
236,pask4687,ALC,3.5
237,pask4687,KURC,3.5
238,pask4687,KUBC,3.5
239,pask4687,로타랙트,3.5
240,qlwbl77,JASS,4.5
241,qlwbl77,유스호스텔,4.5
242,qlwbl77,ALC,4.5
243,qlwbl77,운화회,4.5
244,qlwbl77,로타랙트,4.5
245,qlwbl77,LECA,4.5
246,qlwbl77,백구회,4.0
247,qlwbl77,KUBC,4.0
248,qlwbl77,중국연구회,4.0
249,qlwbl77,KURC,4.0
250,haha679,JASS,3.5
251,haha679,로타랙트,3.0
252,haha679,중국연구회,3.0
253,haha679,LECA,3.0
254,haha679,UNSA,3.0
255,haha679,고란도란,3.0
256,haha679,수레바퀴,3.0
257,haha679,유스호스텔,3.0
258,haha679,소믈리에,3.0
259,haha679,뇌의주름,3.0
260,qlek1,ALC,3.0
261,qlek1,LECA,3.0
262,qlek1,JASS,2.5
263,qlek1,팝콘,2.5
264,qlek1,운화회,2.5
265,qlek1,로타랙트,2.5
266,qlek1,고집,2.5
267,qlek1,KUSA,2.5
268,qlek1,중국연구회,2.5
269,qlek1,예술비평연구회,2.5
270,agalg,뇌의주름,4.5
271,agalg,LECA,4.5
272,agalg,탁구사랑회,4.5
273,agalg,노래얼,4.0
274,agalg,유스호스텔,4.0
275,agalg,로타랙트,4.0
276,agalg,중국연구회,4.0
277,agalg,소믈리에,4.0
278,agalg,미스디렉션,4.0
279,agalg,TTP,4.0
280,qoieppl5,LECA,5.0
281,qoieppl5,탁구사랑회,4.5
282,qoieppl5,중국연구회,4.5
283,qoieppl5,소믈리에,4.5
284,qoieppl5,뇌의주름,4.5
285,qoieppl5,JASS,4.5
286,qoieppl5,KURC,4.0
287,qoieppl5,KUBT,4.0
288,qoieppl5,KUSA,4.0
289,qoieppl5,ENM,4.0
290,catlover6487,중국연구회,3.5
291,catlover6487,LECA,3.5
292,catlover6487,ECS,3.5
293,catlover6487,ALC,3.5
294,catlover6487,예술비평연구회,3.5
295,catlover6487,아마추어축구부,3.5
296,catlover6487,고란도란,3.5
297,catlover6487,로타랙트,3.5
298,catlover6487,뇌의주름,3.0
299,catlover6487,농구연구회,3.0
300,korea1123,LoGS,3.5
301,korea1123,뇌의주름,3.0
302,korea1123,아마추어축구부,3.0
303,korea1123,크림슨,3.0
304,korea1123,ATP,3.0
305,korea1123,소믈리에,3.0
306,korea1123,JASS,2.5
307,korea1123,수레바퀴,2.5
308,korea1123,사람과 사람,2.5
309,korea1123,돌빛,2.5
310,dae5686,LECA,5.0
311,dae5686,JASS,4.5
312,dae5686,탁구사랑회,4.5
313,dae5686,중국연구회,4.5
314,dae5686,운화회,4.0
315,dae5686,고란도란,4.0
316,dae5686,수레바퀴,4.0
317,dae5686,예술비평연구회,4.0
318,dae5686,평화나비,4.0
319,dae5686,ALC,4.0
320,jeonga11,LECA,4.5
321,jeonga11,탁구사랑회,4.5
322,jeonga11,뇌의주름,4.5
323,jeonga11,KURC,4.0
324,jeonga11,중국연구회,4.0
325,jeonga11,고대바둑사랑,4.0
326,jeonga11,불교학생회,4.0
327,jeonga11,KUBT,4.0
328,jeonga11,뉴런,4.0
329,jeonga11,JASS,4.0
330,ha23,뇌의주름,5.0
331,ha23,중국연구회,5.0
332,ha23,LECA,5.0
333,ha23,로타랙트,5.0
334,ha23,ENM,4.5
335,ha23,평화나비,4.5
336,ha23,팝콘,4.5
337,ha23,ALC,4.5
338,ha23,호영회,4.5
339,ha23,유스호스텔,4.5
340,usa6681,LECA,4.5
341,usa6681,JASS,4.0
342,usa6681,로타랙트,4.0
343,usa6681,중국연구회,4.0
344,usa6681,예술비평연구회,4.0
345,usa6681,뇌의주름,4.0
346,usa6681,운화회,4.0
347,usa6681,탁구사랑회,4.0
348,usa6681,농구연구회,3.5
349,usa6681,소믈리에,3.5
350,jeju7987,LECA,5.0
351,jeju7987,로타랙트,5.0
352,jeju7987,팝콘,5.0
353,jeju7987,예술비평연구회,4.5
354,jeju7987,운화회,4.5
355,jeju7987,KUSA,4.5
356,jeju7987,ALC,4.5
357,jeju7987,ECS,4.0
358,jeju7987,소믈리에,4.0
359,jeju7987,유스호스텔,4.0
360,hey676,JASS,3.5
361,hey676,ENTHES,3.5
362,hey676,소믈리에,3.5
363,hey676,운화회,3.5
364,hey676,LECA,3.5
365,hey676,중국연구회,3.5
366,hey676,수레바퀴,3.0
367,hey676,KUBC,3.0
368,hey676,평화나비,3.0
369,hey676,호진회,3.0
370,bionda7,LECA,4.5
371,bionda7,예술비평연구회,4.5
372,bionda7,로타랙트,4.5
373,bionda7,KUSA,4.0
374,bionda7,팝콘,4.0
375,bionda7,KUBC,4.0
376,bionda7,유스호스텔,4.0
377,bionda7,뇌의주름,4.0
378,bionda7,운화회,4.0
379,bionda7,JASS,4.0
380,haeddeora,LECA,3.5
381,haeddeora,로타랙트,3.0
382,haeddeora,예술비평연구회,3.0
383,haeddeora,호영회,3.0
384,haeddeora,호우회,3.0
385,haeddeora,운화회,3.0
386,haeddeora,TERRA,2.5
387,haeddeora,한일문화연구회,2.5
388,haeddeora,중국연구회,2.5
389,haeddeora,ECS,2.5
390,lala11,탁구사랑회,5.0
391,lala11,뉴런,4.5
392,lala11,ENTHES,4.5
393,lala11,KUSA,4.0
394,lala11,KUBC,4.0
395,lala11,유스호스텔,4.0
396,lala11,뇌의주름,4.0
397,lala11,ENM,4.0
398,lala11,중국연구회,4.0
399,lala11,LECA,4.0
400,chaechae,수호회,4.0
401,chaechae,농구연구회,4.0
402,chaechae,LECA,4.0
403,chaechae,ALC,4.0
404,chaechae,JASS,3.5
405,chaechae,ENM,3.5
406,chaechae,예술비평연구회,3.5
407,chaechae,미스디렉션,3.5
408,chaechae,TERRA,3.5
409,chaechae,중국연구회,3.5
410,Imchaechae,JASS,3.5
411,Imchaechae,뇌의주름,3.5
412,Imchaechae,중국연구회,3.5
413,Imchaechae,사람과 사람,3.5
414,Imchaechae,평화나비,3.5
415,Imchaechae,KUBT,3.0
416,Imchaechae,KUBC,3.0
417,Imchaechae,ENTHES,3.0
418,Imchaechae,팝콘,3.0
419,Imchaechae,수호회,3.0
420,chaeisthebest,LECA,5.0
421,chaeisthebest,ALC,5.0
422,chaeisthebest,JASS,4.5
423,chaeisthebest,KUSA,4.5
424,chaeisthebest,예술비평연구회,4.5
425,chaeisthebest,운화회,4.5
426,chaeisthebest,로타랙트,4.5
427,chaeisthebest,고란도란,4.5
428,chaeisthebest,KURC,4.0
429,chaeisthebest,호영회,4.0
430,heyboy,JASS,4.5
431,heyboy,노래얼,4.0
432,heyboy,팝콘,4.0
433,heyboy,ALC,4.0
434,heyboy,뇌의주름,4.0
435,heyboy,운화회,4.0
436,heyboy,로타랙트,4.0
437,heyboy,KUSA,4.0
438,heyboy,중국연구회,4.0
439,heyboy,소믈리에,3.5
440,starbucks,JASS,5.0
441,starbucks,예술비평연구회,5.0
442,starbucks,팝콘,5.0
443,starbucks,탁구사랑회,5.0
444,starbucks,고란도란,5.0
445,starbucks,LECA,5.0
446,starbucks,ECS,5.0
447,starbucks,ALC,5.0
448,starbucks,소믈리에,4.5
449,starbucks,수레바퀴,4.5
450,americano,뇌의주름,5.0
451,americano,LECA,5.0
452,americano,ALC,5.0
453,americano,탁구사랑회,4.5
454,americano,팝콘,4.5
455,americano,소믈리에,4.5
456,americano,로타랙트,4.5
457,americano,수레바퀴,4.0
458,americano,고란도란,4.0
459,americano,예술비평연구회,4.0
460,ich1992,LECA,5.0
461,ich1992,JASS,4.5
462,ich1992,로타랙트,4.5
463,ich1992,고란도란,4.5
464,ich1992,ALC,4.5
465,ich1992,유스호스텔,4.5
466,ich1992,ECS,4.0
467,ich1992,뇌의주름,4.0
468,ich1992,예술비평연구회,4.0
469,ich1992,호영회,4.0
470,chae1999,뇌의주름,5.0
471,chae1999,LECA,4.5
472,chae1999,호영회,4.5
473,chae1999,로타랙트,4.0
474,chae1999,ENTHES,4.0
475,chae1999,열두루달,4.0
476,chae1999,중국연구회,4.0
477,chae1999,평화나비,4.0
478,chae1999,유스호스텔,4.0
479,chae1999,캘리쿠,4.0
480,stranger,운화회,4.0
481,stranger,TTP,4.0
482,stranger,로타랙트,4.0
483,stranger,KURC,4.0
484,stranger,호영회,4.0
485,stranger,팝콘,3.5
486,stranger,뇌의주름,3.5
487,stranger,소믈리에,3.5
488,stranger,유스호스텔,3.5
489,stranger,JASS,3.5
490,gohome11,LECA,5.0
491,gohome11,탁구사랑회,5.0
492,gohome11,중국연구회,5.0
493,gohome11,운화회,5.0
494,gohome11,KURC,5.0
495,gohome11,KUBC,4.5
496,gohome11,ALC,4.5
497,gohome11,호영회,4.5
498,gohome11,로타랙트,4.5
499,gohome11,팝콘,4.5
500,zip456,탁구사랑회,5.0
501,zip456,LECA,5.0
502,zip456,로타랙트,4.5
503,zip456,TTP,4.0
504,zip456,열두루달,4.0
505,zip456,중국연구회,4.0
506,zip456,서화회,4.0
507,zip456,팝콘,4.0
508,zip456,유스호스텔,4.0
509,zip456,호영회,4.0
510,him9879,JASS,3.5
511,him9879,로타랙트,3.0
512,him9879,수호회,3.0
513,him9879,백구회,3.0
514,him9879,IVF,3.0
515,him9879,ENM,3.0
516,him9879,팝콘,3.0
517,him9879,예술비평연구회,3.0
518,him9879,극예술연구회,3.0
519,him9879,TERRA,3.0
520,google11,JASS,3.5
521,google11,KURC,3.5
522,google11,LECA,3.5
523,google11,유스호스텔,3.5
524,google11,중국연구회,3.5
525,google11,뇌의주름,3.5
526,google11,운화회,3.5
527,google11,로타랙트,3.5
528,google11,고란도란,3.5
529,google11,ALC,3.5
530,mulmul,아마추어축구부,4.5
531,mulmul,ENM,4.0
532,mulmul,팝콘,4.0
533,mulmul,소믈리에,4.0
534,mulmul,뇌의주름,4.0
535,mulmul,수레바퀴,3.5
536,mulmul,LoGS,3.5
537,mulmul,ALC,3.5
538,mulmul,IVF,3.5
539,mulmul,KUBT,3.5
540,csv654,JASS,4.5
541,csv654,탁구사랑회,4.5
542,csv654,농구연구회,4.5
543,csv654,LECA,4.5
544,csv654,KUSA,4.5
545,csv654,뇌의주름,4.5
546,csv654,평화나비,4.0
547,csv654,KUBT,4.0
548,csv654,ENTHES,4.0
549,csv654,소믈리에,4.0
550,python99,LECA,5.0
551,python99,뇌의주름,5.0
552,python99,뉴런,4.5
553,python99,중국연구회,4.5
554,python99,불교학생회,4.5
555,python99,KUCC,4.5
556,python99,열두루달,4.5
557,python99,LoGS,4.0
558,python99,극예술연구회,4.0
559,python99,JASS,4.0
560,jupyter113,LECA,5.0
561,jupyter113,백구회,4.5
562,jupyter113,호영회,4.5
563,jupyter113,팝콘,4.5
564,jupyter113,KUSA,4.5
565,jupyter113,로타랙트,4.5
566,jupyter113,운화회,4.5
567,jupyter113,호우회,4.5
568,jupyter113,JASS,4.0
569,jupyter113,뇌의주름,4.0
570,seoul66,LECA,5.0
571,seoul66,JASS,4.5
572,seoul66,팝콘,4.5
573,seoul66,중국연구회,4.5
574,seoul66,KUBC,4.0
575,seoul66,ECS,4.0
576,seoul66,ALC,4.0
577,seoul66,고란도란,4.0
578,seoul66,뇌의주름,4.0
579,seoul66,호영회,4.0
580,kakao7168,불교학생회,4.5
581,kakao7168,탁구사랑회,4.0
582,kakao7168,중국연구회,4.0
583,kakao7168,고려대학교 관현악단,4.0
584,kakao7168,KURC,4.0
585,kakao7168,캘리쿠,3.5
586,kakao7168,고려대학교 관악부,3.5
587,kakao7168,LECA,3.5
588,kakao7168,그루터기,3.5
589,kakao7168,노래얼,3.5
590,dongari,LECA,5.0
591,dongari,KUSA,4.5
592,dongari,예술비평연구회,4.5
593,dongari,유스호스텔,4.5
594,dongari,뇌의주름,4.5
595,dongari,운화회,4.5
596,dongari,로타랙트,4.5
597,dongari,JASS,4.5
598,dongari,수호회,4.5
599,dongari,농구연구회,4.0
